licence;Librairie;Description;
;;;
Apache License V2;apache-ant-1.7.1;Ant pour livraison => non distribué;
Apache License V2;BinaryNotes1.5.2;Librairie d'encodage/décodage en ASN1;
http://i1.dk/JavaDiameter/LICENSE;Diameter-0.9.6.4;Pile DIAMETER dk;ok MTS est un outil de test
LGPL;gp-net-radius;Pile RADIUS Gwenhael Pasquiers;
LGPL;gp-utils;Pile RADIUS Gwenhael Pasquiers;
Apache License V2;httpcore-4.0;Pile HTTP provant de Tomcat;
Apache License V2;izpack;Logiciel de packaging => non distribué;
public domain;nist-sip1.2;Pile SIP jain (Obsolete);
GPL; JavaSCTP-0-5-7;Pile SCTP dk;
BSD license;javolution;?;
http://jaxen.codehaus.org/license.html;jaxen;?;ok  
GPL; jFooID;?;
LGPL;jfreechart-1.0.9;Librairie de génération de graphe (rapport de stats HTML);
SCSL;jmf2.1.1e;Pile RTP jmf (Obsolete);
Mozilla Public License 1.1;jpcap;Libraire de capture de Wireshark;
GPL;mibble;Pile SNMP;
GPL;mysql-connector-java;Librairie d'exécution de requête SQL (ODBC portable);
Apache License V2;opencsv;Librairie de lecture de fichier CSV (Obsolete);
;oracle;?;
???;pcp;Pile PCP;
Apache License V2;snmp4j;Pile SNMP;
; xmlspy;?;
